source_system,source_ref,url,entity_type,entity_id,entity_label,tread_pattern,display_priority,status
production.catalog_images,catalog_images:2f5b3c7a-fe62-4fbf-9a78-bdfa620098e0,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx76-block-02.webp,track_size,ts_300x525wx76,300x52.5Wx76,Block,2,mapped
production.catalog_images,catalog_images:6d1c5001-5ae4-44d5-a00e-b59d9d302a7e,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx76-block-03.webp,track_size,ts_300x525wx76,300x52.5Wx76,Block,2,mapped
production.catalog_images,catalog_images:18f99d78-7b40-4da4-9fc1-b5449f50c9c6,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx76-block-04.webp,track_size,ts_300x525wx76,300x52.5Wx76,Block,2,mapped
production.catalog_images,catalog_images:c068707b-3e3b-47e1-b2cb-8af9d18f6567,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx78-block-01.webp,track_size,ts_300x525wx78,300x52.5Wx78,Block,1,mapped
production.catalog_images,catalog_images:5aa756ff-5b6e-4dd5-be62-7d8a683eb710,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx78-block-02.webp,track_size,ts_300x525wx78,300x52.5Wx78,Block,2,mapped
production.catalog_images,catalog_images:2101a0c3-9a81-45d7-a460-0eae0cdd956e,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx78-block-03.webp,track_size,ts_300x525wx78,300x52.5Wx78,Block,2,mapped
production.catalog_images,catalog_images:ff6eef26-b723-4d2e-9ab1-08aaeafa81fa,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx78-block-04.webp,track_size,ts_300x525wx78,300x52.5Wx78,Block,2,mapped
production.catalog_images,catalog_images:0395f43c-3411-4eb1-895f-d3f48c739ce0,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx82-block-01.webp,track_size,ts_300x525wx82,300x52.5Wx82,Block,1,mapped
production.catalog_images,catalog_images:c03e5356-7078-44a2-9cdf-0a428c5c40f0,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx82-block-02.webp,track_size,ts_300x525wx82,300x52.5Wx82,Block,2,mapped
production.catalog_images,catalog_images:ec00bdf0-1fbb-4532-b654-600f22641644,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx82-block-03.webp,track_size,ts_300x525wx82,300x52.5Wx82,Block,2,mapped
production.catalog_images,catalog_images:a0e36351-ae80-487f-94b7-11d66a63ea32,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx82-block-04.webp,track_size,ts_300x525wx82,300x52.5Wx82,Block,2,mapped
production.catalog_images,catalog_images:6d8269f9-a10e-46d2-980f-e946102f1c7a,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx84-block-01.webp,track_size,ts_300x525wx84,300x52.5Wx84,Block,1,mapped
production.catalog_images,catalog_images:2bc94c9d-4571-4aa9-af78-d6f8031fe0c1,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Wx84-block-02.webp,track_size,ts_300x525wx84,300x52.5Wx84,Block,2,mapped
