candidate_id,machine_id,shopify_handle,field_name,source_type,source_priority,source_url,confidence,evidence_text
enr_27ea09bd18b5ba56caa1faf0,mdl_hyundai_robex30z9ak,hyundai-robex-30z-9ak,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-30z-9ak,0.88,Track Finder model family label
enr_d06727f18b364387a90d3380,mdl_hyundai_robex_35_5,hyundai-robex-35-5,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-35-5,0.88,Track Finder model family label
enr_db269a6983c83a59a18e5ab2,mdl_hyundai_robex_35_7,hyundai-robex-35-7,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-35-7,0.88,Track Finder model family label
enr_cb307435313bd53fde2d9115,mdl_hyundai_robex359,hyundai-robex-35-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-35-9,0.88,Track Finder model family label
enr_28faf417a752946480690046,mdl_hyundai_robex35z7a,hyundai-robex-35z-7a,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-35z-7a,0.88,Track Finder model family label
enr_2ab2e5b2b41d22cddf1c4bce,mdl_hyundai_robex35z9ak,hyundai-robex-35z-9ak,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-35z-9ak,0.88,Track Finder model family label
enr_c642da480de839b96b214bb0,mdl_hyundai_robex_36_7,hyundai-robex-36-7,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-36-7,0.88,Track Finder model family label
enr_b07280bf558427bfd62b4b17,mdl_hyundai_robex553,hyundai-robex-55-3,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-55-3,0.88,Track Finder model family label
enr_6ad2ae7936f2a166802faf71,mdl_hyundai_robex557,hyundai-robex-55-7,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-55-7,0.88,Track Finder model family label
enr_8aea545be66a7951b15bbca9,mdl_hyundai_robex559,hyundai-robex-55-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-55-9,0.88,Track Finder model family label
enr_5aca6a1b0de2f3fd00248143,mdl_hyundai_robex559a,hyundai-robex-55-9a,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-55-9a,0.88,Track Finder model family label
enr_322a1f09584a93acbaa1ecb7,mdl_hyundai_robex60cr9a,hyundai-robex-60cr-9a,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-60cr-9a,0.88,Track Finder model family label
enr_0c262cb1e3ff1d5e98609e95,mdl_hyundai_robex75_7,hyundai-robex-75-7,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-75-7,0.88,Track Finder model family label
enr_90a24cd1cede48a8d586059c,mdl_hyundai_robex807,hyundai-robex-80-7,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-80-7,0.88,Track Finder model family label
enr_606d5ce1aaad9b1ded27ba0a,mdl_hyundai_robex80cr9,hyundai-robex-80cr-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-80cr-9,0.88,Track Finder model family label
enr_8608c2d4121038fffc5771fe,mdl_hyundai_robexr60cr9,hyundai-robex-r60-cr-9,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex-r60-cr-9,0.88,Track Finder model family label
enr_8633cf558e8b98c9923b1414,mdl_hyundai_robex35z7a,hyundai-robex-35z-7a,canonical_model_group,track_finder,4,/pages/equipment-model/hyundai-robex35z-7a,0.88,Track Finder model family label
enr_0a18dd6136defbbcfe8cac8e,mdl_ihi_18_j,ihi-18-j,canonical_model_group,track_finder,4,/pages/equipment-model/ihi-18-j,0.88,Track Finder model family label
enr_203d156bfd187b04442778a0,mdl_jcb_16c_1,jcb-16c-1,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-16c-1,0.88,Track Finder model family label
enr_df4d071166509aaf309a7b50,mdl_jcb_18z_1,jcb-18z-1,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-18z-1,0.88,Track Finder model family label
enr_668742fcb05e027a1706b214,mdl_jcb_19c_1,jcb-19c-1,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-19c-1,0.88,Track Finder model family label
enr_43c19120f931a94b6eaa380f,mdl_jcb_8032zts,jcb-803-2-zts,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-803-2-zts,0.88,Track Finder model family label
enr_16222caf2e1ff61f149ff4a5,mdl_jcb_8030_zts,jcb-8030zts,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-8030zts,0.88,Track Finder model family label
enr_2eea05df6235342f817a7b6d,mdl_jcb_8035_zts,jcb-8035zts,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-8035zts,0.88,Track Finder model family label
enr_08b6179f73a1e4a5d2d4a4d5,mdl_jcb_8052,jcb-805-2,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-805-2,0.88,Track Finder model family label
enr_b9903537f7bb2ccac10b8f66,mdl_jcb_8050_zts,jcb-8050zts,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-8050zts,0.88,Track Finder model family label
enr_240c2f2a38a55fcc44a8902c,mdl_jcb_8080_zts,jcb-8080zts,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-8080zts,0.88,Track Finder model family label
enr_8379170486a8faa4d5b796ad,mdl_jcb_85z_1,jcb-85z-1,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-85z-1,0.88,Track Finder model family label
enr_8025e80ad263c8bf529977bb,mdl_jcb_86c_1,jcb-86c-1,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-86c-1,0.88,Track Finder model family label
enr_13068546b732539c2e6aa162,mdl_jcb_jz_70,jcb-jz-70,canonical_model_group,track_finder,4,/pages/equipment-model/jcb-jz-70,0.88,Track Finder model family label
