Handle,Command,Top Row,Variant SKU,Metafield: custom.fits_equipment_models [list.metaobject_reference]
tnt300525n84hd,MERGE,TRUE,TNT300525N84HD,"model.bobcat-e35, model.bobcat-e35i, model.bobcat-e35z, model.doosan-dx30z, model.hitachi-ex35, model.hitachi-ex35-1, model.hitachi-ex40ur, model.hyundai-robex-35-5, model.hyundai-robex-35-7, model.hyundai-robex-36-7, model.komatsu-pc20-2, model.komatsu-pc25, model.komatsu-pc25-1, model.komatsu-pc25-7, model.komatsu-pc30, model.komatsu-pc30-6, model.komatsu-pc30-7, model.komatsu-pc30mr, model.komatsu-pc30r-8, model.komatsu-pc35mr, model.komatsu-pc35mr-1, model.komatsu-pc35r, model.komatsu-pc35r-8, model.kubota-kx035"
tnt300525n86hd,MERGE,TRUE,TNT300525N86HD,"model.case-cx33c, model.doosan-dx35-5, model.doosan-dx35z, model.hitachi-zx30u-5, model.hitachi-zx35u, model.hyundai-robex-35z-7a, model.john-deere-30g, model.john-deere-35d, model.john-deere-35g, model.john-deere-35p, model.john-deere-35zts, model.komatsu-pc30mr-3, model.komatsu-pc35mr, model.komatsu-pc35mr-2, model.komatsu-pc35mr-3"
tnt300525w78hd,MERGE,TRUE,TNT300525W78HD,"model.case-ck28, model.case-cx28, model.cat-302-5, model.cat-302-5c, model.gehl-303, model.jcb-8025zts, model.kobelco-sk024, model.kobelco-sk025, model.kobelco-sk025-2, model.kobelco-sk025sr, model.kobelco-sk25sr, model.takeuchi-tb025, model.takeuchi-tb125, model.takeuchi-tb228, model.takeuchi-tb230, model.volvo-ec-25x, model.volvo-ec-25xt, model.volvo-ec-30b, model.volvo-ec-30x, model.volvo-ec25, model.volvo-ec27c, model.volvo-ec27d, model.volvo-ec30, model.volvo-ecr28"
tnt300525w82hd,MERGE,TRUE,TNT300525W82HD,"model.case-cx31, model.case-cx31b, model.kobelco-sk024, model.kobelco-sk30sr"
tnt300525w84hd,MERGE,TRUE,TNT300525W84HD,"model.cat-303-5, model.cat-303-5-cr, model.cat-303-cr, model.cat-303ecr, model.ditch-witch-mx35, model.jcb-802-7-zts, model.jcb-803, model.jcb-803-magnum, model.jcb-803-plus, model.jcb-8030zts, model.jcb-8032zts, model.jcb-8035zts, model.jcb-803e, model.jcb-803super, model.kubota-k-035, model.kubota-kh-90, model.kubota-kx-101, model.kubota-kx033-4, model.kubota-u-30, model.kubota-u-30-1, model.kubota-u-30-2, model.kubota-u-30-3, model.kubota-u-35-3, model.kubota-u35, model.kubota-u35-4, model.volvo-ec-35, model.volvo-ec35c, model.volvo-ec35d, model.volvo-ecr38, model.volvo-ecr40d"
tnt300525w86hd,MERGE,TRUE,TNT300525W86HD,"model.case-cx35, model.takeuchi-tb035, model.takeuchi-tb135, model.takeuchi-tb138fr, model.takeuchi-tb235"
tnt300525w90hd,MERGE,TRUE,TNT300525W90HD,"model.cat-303-5ccr, model.cat-303-5d-cr, model.cat-303-5e-cr, model.cat-303-cr, model.cat-303c-cr, model.cat-304e-cr, model.new-holland-eh35"
tnt3005380hd,MERGE,TRUE,TNT3005380HD,"model.kubota-k-030-3, model.kubota-kx-61-3, model.kubota-kx030-4, model.kubota-kx71-3, model.kubota-kx71-3s, model.kubota-kx91-3, model.kubota-u-25-3, model.kubota-u25, model.kubota-u27-4"
tnt3005384hd,MERGE,TRUE,TNT3005384HD,"model.kubota-k-035-3, model.kubota-kx-101-3, model.kubota-kx033-4, model.kubota-u-35-3, model.kubota-u35-4"
tnt30055582hd,MERGE,TRUE,TNT30055582HD,model.yanmar-vio35
tnt3008648hdc,MERGE,TRUE,TNT3008648HDC,model.toro-dingo-txl2000
tnt3205472hd,MERGE,TRUE,TNT3205472HD,model.bobcat-325
tnt3205482hd,MERGE,TRUE,TNT3205482HD,"model.bobcat-e35, model.bobcat-e35i, model.bobcat-e35z, model.komatsu-pc25, model.komatsu-pc25-1, model.komatsu-pc25-7, model.komatsu-pc30-6, model.komatsu-pc30-7, model.komatsu-pc30mr, model.komatsu-pc30r-8, model.komatsu-pc35mr-1, model.komatsu-pc35r, model.komatsu-pc35r-8"
tnt3208446hdbl,MERGE,TRUE,TNT3208446HDBL,"model.bobcat-t140, model.bobcat-t450, model.gehl-rt135"
tnt3208446hdc,MERGE,TRUE,TNT3208446HDC,"model.bobcat-t140, model.bobcat-t450, model.gehl-rt135"
tnt3208649hdbd,MERGE,TRUE,TNT3208649HDBD,"model.bobcat-t180, model.bobcat-t190, model.bobcat-t550, model.bobcat-t590, model.bobcat-t595, model.cat-239d, model.cat-239d3, model.cat-249d, model.cat-249d3, model.gehl-rt165, model.mustang-1650rt"
tnt3208649hdbl,MERGE,TRUE,TNT3208649HDBL,"model.bobcat-t180, model.bobcat-t190, model.bobcat-t550, model.bobcat-t590, model.bobcat-t595, model.cat-239d, model.cat-239d3, model.cat-249d, model.cat-249d3, model.gehl-rt165, model.mustang-1650rt"
tnt3208649hdc,MERGE,TRUE,TNT3208649HDC,"model.bobcat-t180, model.bobcat-t190, model.bobcat-t550, model.bobcat-t590, model.bobcat-t595, model.cat-239d, model.cat-239d3, model.cat-249d, model.cat-249d3, model.gehl-rt165, model.mustang-1650rt"
