machine_id,brand_id,model,model_canonical,machine_type,mount_type,primary_track_size_id,horsepower,operating_weight_lbs,std_gpm,hf_gpm,std_psi,lift_type,coupler_type,validation_status,source_systems,machine_status,canonical_model_group,shopify_handle,shopify_url,navigation_source
mdl_bobcat_t550,br_bobcat,T550,T550,Skid Steer,Universal Skid Steer,ts_400x86bx49,68,7557,17.0,27.0,3500,Radius,,Needs Review,airtable|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T550,bobcat-t550,/pages/equipment-model/bobcat-t550,track_finder_v1
mdl_bobcat_t570,br_bobcat,T570,T570,Compact Track Loader,Universal Skid Steer,,68,7557,17.0,,3500,Radius,,Needs Review,airtable|shopify_meta,review,Bobcat T570,,,
mdl_bobcat_t590,br_bobcat,T590,T590,Skid Steer,Universal Skid Steer,ts_320x86bx49,56,7145,16.9,27.0,3300,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T590,bobcat-t590,/pages/equipment-model/bobcat-t590,track_finder_v1
mdl_bobcat_t595,br_bobcat,T595,T595,Skid Steer,Universal Skid Steer,ts_320x86bx49,70,8022,17.0,30.0,3500,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Bobcat T595,bobcat-t595,/pages/equipment-model/bobcat-t595,track_finder_v1
mdl_bobcat_t62,br_bobcat,T62,T62,Skid Steer,Universal Quick-Attach,ts_400x86bx50,68,8612,18.0,27.0,3500,Radius,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T62,bobcat-t62,/pages/equipment-model/bobcat-t62,track_finder_v1
mdl_bobcat_t630,br_bobcat,T630,T630,Skid Steer,Universal Skid Steer,ts_320x86x52,56,6756,16.9,30.0,3300,Radial,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T630,bobcat-t630,/pages/equipment-model/bobcat-t630,track_finder_v1
mdl_bobcat_t64,br_bobcat,T64,T64,Skid Steer,Universal Skid Steer,ts_400x86bx50,68,8727,18.0,,3500,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Bobcat T64,bobcat-t64,/pages/equipment-model/bobcat-t64,track_finder_v1
mdl_bobcat_t650,br_bobcat,T650,T650,Skid Steer,Universal Skid Steer,ts_320x86x52,67,7691,20.7,30.0,3300,Radial,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T650,bobcat-t650,/pages/equipment-model/bobcat-t650,track_finder_v1
mdl_bobcat_t66,br_bobcat,T66,T66,Skid Steer,Universal Quick-Attach,ts_400x86bx50,74,8927,18.0,,3500,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Bobcat T66,bobcat-t66,/pages/equipment-model/bobcat-t66,track_finder_v1
mdl_bobcat_t72,br_bobcat,T72,T72,,,,,,,,,,,,shopify_meta|supplier_fitment,quarantine,Bobcat T72,,,
mdl_bobcat_t730,br_bobcat,T730,T730,Skid Steer,Universal Skid Steer,ts_450x86bx55,74,10250,23.0,,3500,Vertical,,Needs Review,airtable|shopify_meta|size_index|supplier_fitment,active_v1,Bobcat T730,bobcat-t730,/pages/equipment-model/bobcat-t730,track_finder_v1
mdl_bobcat_t740,br_bobcat,T740,T740,Skid Steer,Universal Skid Steer,ts_450x86bx55,74,10127,23.0,30.0,3500,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment,active_v1,Bobcat T740,bobcat-t740,/pages/equipment-model/bobcat-t740,track_finder_v1
mdl_bobcat_t750,br_bobcat,T750,T750,Skid Steer,Universal Skid Steer,ts_450x86bx55,67,8820,20.7,33.0,3300,Radial,,Verified,airtable|fitment_json|shopify_meta|supplier_fitment|supplier_products,active_v1,Bobcat T750,bobcat-t750,/pages/equipment-model/bobcat-t750,track_finder_v1
mdl_bobcat_t76,br_bobcat,T76,T76,Skid Steer,Universal Skid Steer,ts_320x86bx53,74,10700,23.0,30.0,3500,Radial,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T76,bobcat-t76,/pages/equipment-model/bobcat-t76,track_finder_v1
mdl_bobcat_t760,br_bobcat,T760,T760,Compact Track Loader,Universal Skid Steer,,74,10250,23.0,,3500,Vertical,,Needs Review,airtable|shopify_meta,review,Bobcat T760,,,
mdl_bobcat_t770,br_bobcat,T770,T770,Skid Steer,Universal Skid Steer,ts_450x86bx55,92,9830,24.0,33.0,3500,Vertical,,Verified,airtable|fitment_json|shopify_meta|supplier_fitment,active_v1,Bobcat T770,bobcat-t770,/pages/equipment-model/bobcat-t770,track_finder_v1
mdl_bobcat_t7x,br_bobcat,T7X,T7X,Compact Track Loader,Universal Skid Steer,,68,10400,,,,Vertical,,Needs Review,airtable|shopify_meta,review,Bobcat T7X,,,
mdl_bobcat_t830,br_bobcat,T830,T830,Skid Steer,Universal Skid Steer,ts_450x86bx58,92,10515,23.0,,3500,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T830,bobcat-t830,/pages/equipment-model/bobcat-t830,track_finder_v1
mdl_bobcat_t86,br_bobcat,T86,T86,Skid Steer,Universal Skid Steer,ts_450x86bx58,100,13500,23.0,42.0,4061,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T86,bobcat-t86,/pages/equipment-model/bobcat-t86,track_finder_v1
mdl_bobcat_t864,br_bobcat,T864,T864,Skid Steer,,ts_320x86x52,,,,,,,,Verified,airtable|fitment_json|shopify_meta,active_v1,Bobcat T864,bobcat-t864,/pages/equipment-model/bobcat-t864,track_finder_v1
mdl_bobcat_t870,br_bobcat,T870,T870,Skid Steer,Universal Skid Steer,ts_450x86bx58,92,12143,24.0,40.0,3500,Vertical,,Verified,airtable|fitment_json|shopify_meta|size_index|supplier_fitment|supplier_products,active_v1,Bobcat T870,bobcat-t870,/pages/equipment-model/bobcat-t870,track_finder_v1
mdl_bobcat_t870_suspension,br_bobcat,T870 SUSPENSION,T870 SUSPENSION,Compact Track Loader,Universal Quick-Attach,,92,10515,23.0,,3500,Vertical,,Needs Review,airtable|shopify_meta,review,Bobcat T870 SUSPENSION,,,
mdl_bobcat_t870torsionmount,br_bobcat,T870TORSIONMOUNT,T870TORSIONMOUNT,,,,,,,,,,,,fitment_json,reference,Bobcat T870TORSIONMOUNT,,,
mdl_bobcat_t_140,br_bobcat,T 140,T 140,,,,,,,,,,,,size_index,reference,Bobcat T 140,,,
mdl_bobcat_t_550,br_bobcat,T 550,T 550,,,,,,,,,,,,size_index,quarantine,Bobcat T 550,,,
mdl_bobcat_t_590,br_bobcat,T 590,T 590,,,,,,,,,,,,size_index,reference,Bobcat T 590,,,
mdl_bobcat_t_595,br_bobcat,T 595,T 595,,,,,,,,,,,,size_index,reference,Bobcat T 595,,,
mdl_bobcat_t_630_450mm_most_common,br_bobcat,T 630 450MM MOST COMMON,T 630 450MM MOST COMMON,,,,,,,,,,,,size_index,quarantine,Bobcat T 630 450MM MOST COMMON,,,
mdl_bobcat_t_650_450mm_most_common,br_bobcat,T 650 450MM MOST COMMON,T 650 450MM MOST COMMON,,,,,,,,,,,,size_index,quarantine,Bobcat T 650 450MM MOST COMMON,,,
mdl_bobcat_t_870,br_bobcat,T 870,T 870,,,,,,,,,,,,size_index,reference,Bobcat T 870,,,
mdl_bobcat_x119,br_bobcat,X119,X119,Mini Excavator,Excavator Pin-On,ts_230x72x43,,,,,,,,Needs Review,airtable|shopify_meta|supplier_fitment|supplier_products,review,Bobcat X119,,,
mdl_bobcat_x120,br_bobcat,X120,X120,Mini Excavator,Excavator Pin-On,ts_230x72x43,,,,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,review,Bobcat X120,,,
mdl_bobcat_x122,br_bobcat,X122,X122,Mini Excavator,Excavator Pin-On,ts_230x72x43,,,,,,,,Needs Review,airtable|shopify_meta|supplier_fitment,review,Bobcat X122,,,
mdl_bobcat_x220,br_bobcat,X220,X220,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X220,,,
mdl_bobcat_x225,br_bobcat,X225,X225,,,,,,,,,,,,supplier_fitment|supplier_products,quarantine,Bobcat X225,,,
mdl_bobcat_x231,br_bobcat,X231,X231,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X231,,,
mdl_bobcat_x320,br_bobcat,X320,X320,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X320,,,
mdl_bobcat_x320d,br_bobcat,X320D,X320D,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X320D,,,
mdl_bobcat_x320e,br_bobcat,X320E,X320E,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X320E,,,
mdl_bobcat_x321,br_bobcat,X321,X321,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X321,,,
mdl_bobcat_x322,br_bobcat,X322,X322,,,,,,,,,,,,supplier_fitment,quarantine,Bobcat X322,,,
