machine_id,shopify_handle,brand,model,status,primary_track_size,hero_url,track_count,uc_count,notes
mdl_ditch_witch_jt860,ditch-witch-jt-860-drilling-machine,Ditch Witch,JT860,partial,,,2,0,missing_hero; missing_primary_track_size
mdl_ditch_witch_jt922,ditch-witch-jt-922,Ditch Witch,JT922,review,,,0,0,missing_hero; missing_primary_track_size; no_products
mdl_ditch_witch_mx_27,ditch-witch-mx27,Ditch Witch,MX 27,review,300x52.5Nx78,,0,0,missing_hero; no_products
mdl_ditch_witch_mx_272,ditch-witch-mx272,Ditch Witch,MX 272,review,300x52.5Nx78,,0,0,missing_hero; no_products
mdl_ditch_witch_mx_35,ditch-witch-mx35,Ditch Witch,MX 35,review,300x52.5Nx84,,0,0,missing_hero; no_products
mdl_ditch_witch_mx_352,ditch-witch-mx352,Ditch Witch,MX-352,partial,300x52.5x86,,1,0,missing_hero
mdl_ditch_witch_mx182,ditch-witch-mx182,Ditch Witch,MX182,partial,230x48x70,,2,0,missing_hero
mdl_ditch_witch_sk1050,ditch-witch-sk1050,Ditch Witch,SK1050,ready,230x72Kx44,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/ditch-witch-sk1050-hero.webp,3,0,
mdl_ditch_witch_sk1550,ditch-witch-sk-1550,Ditch Witch,SK1550,partial,250x72x52,,3,0,missing_hero
mdl_ditch_witch_sk500,ditch-witch-sk500,Ditch Witch,SK500,ready,180x72x39,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/ditch-witch-sk500-hero.webp,4,0,
mdl_ditch_witch_sk600,ditch-witch-sk-600,Ditch Witch,SK600,partial,180x72x40,,2,0,missing_hero
mdl_ditch_witch_sk650,ditch-witch-sk-650,Ditch Witch,SK650,partial,180x72x42,,3,0,missing_hero
mdl_ditch_witch_sk750,ditch-witch-sk750,Ditch Witch,SK750,ready,230x72Kx44,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/ditch-witch-sk750-hero.webp,3,0,
mdl_ditch_witch_sk752,ditch-witch-sk752,Ditch Witch,SK752,partial,230x72Kx44,,2,0,missing_hero
mdl_ditch_witch_sk755,ditch-witch-sk755,Ditch Witch,SK755,ready,230x72Kx44,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/ditch-witch-sk755-hero.webp,3,0,
mdl_ditch_witch_sk800,ditch-witch-sk800,Ditch Witch,SK800,ready,230x72Kx44,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/ditch-witch-sk800-hero.webp,2,0,
mdl_ditch_witch_sk850,ditch-witch-sk850,Ditch Witch,SK850,ready,230x72Kx44,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/ditch-witch-sk850-hero.webp,2,0,
mdl_ditch_witch_sk900,ditch-witch-sk900,Ditch Witch,SK900,ready,230x72Kx44,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/ditch-witch-sk900-hero.webp,3,0,
mdl_doosan_dx27z,doosan-dx27z,Doosan,DX27Z,partial,300x52.5Nx80,,3,0,missing_hero
mdl_doosan_dx30z,doosan-dx30z,Doosan,DX30Z,partial,300x52.5Nx84,,1,0,missing_hero
mdl_doosan_dx35,doosan-dx35,Doosan,DX35,partial,300x52.5x86,,2,2,missing_hero
mdl_doosan_dx35_z7,doosan-dx35-z7,Doosan,DX35-Z7,partial,300x52.5x86,,2,1,missing_hero
mdl_doosan_dx355,doosan-dx35-5,Doosan,DX355,partial,300x52.5Nx84,,1,0,missing_hero
mdl_doosan_dx35z,doosan-dx35z,Doosan,DX35Z,partial,300x52.5x86,,2,1,missing_hero
mdl_doosan_dx50k5,doosan-dx50k-5,Doosan,DX50K5,partial,400x72.5Kx74,,4,0,missing_hero
mdl_doosan_dx55,doosan-dx55,Doosan,DX55,partial,400x72.5Kx74,,4,2,missing_hero
mdl_doosan_dx55z,doosan-dx-55z,Doosan,DX55Z,partial,400x72.5Kx74,,4,0,missing_hero
mdl_doosan_dx60r,doosan-dx60r,Doosan,DX60R,partial,400x72.5Wx76,,2,2,missing_hero
mdl_doosan_dx62r3,doosan-dx62r-3,Doosan,DX62R3,partial,400x72.5Wx76,,2,0,missing_hero
mdl_doosan_dx633,doosan-dx63-3,Doosan,DX633,partial,400x72.5Wx76,,2,0,missing_hero
mdl_doosan_dx80r,doosan-dx80r,Doosan,DX80R,partial,450x81Nx76,,4,0,missing_hero
mdl_doosan_dx85r,doosan-dx85r,Doosan,DX85R,partial,450x81Nx76,,4,0,missing_hero
mdl_doosan_dx85r3,doosan-dx85r-3,Doosan,DX85R3,partial,450x81Nx76,,4,0,missing_hero
mdl_doosan_s55,doosan-s55,Doosan,S55,partial,400x72.5Kx74,,4,0,missing_hero
mdl_gehl_303,gehl-303,Gehl,303,partial,300x52.5Nx78,,2,2,missing_hero
mdl_gehl_502,gehl-502,Gehl,502,partial,400x72.5Kx74,,3,2,missing_hero
mdl_gehl_503z,gehl-503z,Gehl,503Z,partial,400x72.5Kx74,,3,2,missing_hero
mdl_gehl_603,gehl-603,Gehl,603,partial,400x72.5Kx74,,3,2,missing_hero
mdl_gehl_ctl135,gehl-ctl135,Gehl,CTL135,partial,320x86x52,,4,0,missing_hero
mdl_gehl_ctl165,gehl-ctl165,Gehl,CTL165,review,320x86Bx49,,0,0,missing_hero; no_products
mdl_gehl_ctl55,gehl-ctl55,Gehl,CTL55,partial,320x86x52,,7,0,missing_hero
mdl_gehl_ctl60,gehl-ctl60,Gehl,CTL60,ready,320x86x52,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-ctl60-hero.webp,4,4,
mdl_gehl_ctl65,gehl-ctl65,Gehl,CTL65,ready,320x86x52,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-ctl65-hero.webp,4,4,
mdl_gehl_ctl70,gehl-ctl70,Gehl,CTL70,ready,450x100x48,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-ctl70-hero.webp,6,5,
mdl_gehl_ctl75,gehl-ctl75,Gehl,CTL75,ready,450x100x48,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-ctl75-hero.webp,6,4,
mdl_gehl_ctl80,gehl-ctl80,Gehl,CTL80,ready,450x100x50,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-ctl80-hero.webp,6,4,
mdl_gehl_ctl85,gehl-ctl85,Gehl,CTL85,ready,450x100x50,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-ctl85-hero.webp,6,4,
mdl_gehl_ge303,gehl-ge303,Gehl,GE303,review,300x52.5Nx78,,0,0,missing_hero; no_products
mdl_gehl_ge342,gehl-ge342,Gehl,GE342,partial,300x52.5Nx80,,3,1,missing_hero
mdl_gehl_ge362,gehl-ge362,Gehl,GE362,partial,300x52.5Nx84,,3,1,missing_hero
mdl_gehl_ge502,gehl-ge502,Gehl,GE502,partial,400x72.5Kx74,,3,2,missing_hero
mdl_gehl_ge503,gehl-ge503,Gehl,GE503,review,400x72.5Kx74,,0,0,missing_hero; no_products
mdl_gehl_ge602,gehl-ge602,Gehl,GE602,partial,400x72.5Kx74,,3,2,missing_hero
mdl_gehl_mb28,gehl-mb28,Gehl,MB28,review,300x52.5Nx78,,0,0,missing_hero; no_products
mdl_gehl_rt105,equipment-model-6awxkbkh,Gehl,RT105,partial,250x72x52,,3,0,missing_hero
mdl_gehl_rt135,gehl-rt135,Gehl,RT135,ready,320x84Bx46,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-rt135-hero.webp,3,0,
mdl_gehl_rt165,gehl-rt165,Gehl,RT165,ready,320x86Bx49,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-rt165-hero.webp,17,3,
mdl_gehl_rt210,gehl-rt210,Gehl,RT210,ready,450x86Bx56,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-rt210-hero.webp,13,4,
mdl_gehl_rt215,gehl-rt215,Gehl,RT215,ready,450x86Bx56,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-rt215-hero.webp,17,4,
mdl_gehl_rt250,gehl-rt250,Gehl,RT250,ready,450x86Bx58,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-rt250-hero.webp,13,5,
mdl_gehl_rt255,gehl-rt255,Gehl,RT255,ready,450x86Bx58,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/machine-images/gehl-rt255-hero.webp,13,5,
mdl_gehl_vt210,gehl-vt210,Gehl,VT210,review,400x86Bx50,,0,0,missing_hero; no_products
