Handle,Command,Field: primary_track_size,Field: hero_image,Field: track_products [list.product_reference],Field: uc_products [list.product_reference]
ihi-is-27g,MERGE,300x52.5Nx76,,tnt300525w76hd,"bo101-300, heavy-duty-carrier-roller-cr20t-30-00050"
ihi-is-27gx,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-28g,MERGE,300x52.5Nx76,,tnt300525w76hd,"bo101-300, heavy-duty-carrier-roller-cr20t-30-00050"
ihi-is-28g3,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-28gx,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-28j,MERGE,300x52.5Nx76,,tnt300525w76hd,"bo101-300, heavy-duty-carrier-roller-cr20t-30-00050"
ihi-is-28lx,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-28px,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-28ux,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-30g,MERGE,300x52.5Nx76,,tnt300525w76hd,"bo101-300, heavy-duty-carrier-roller-cr20t-30-00050"
ihi-is-30gx,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-30j,MERGE,300x52.5Nx76,,tnt300525w76hd,bo101-300
ihi-is-30jx,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd",bo101-300
ihi-is-30nx,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd",bo101-300
ihi-is-30uj,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd",bo101-300
ihi-is-32j,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd",bo101-300
ihi-is-35g,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd","bo101-300, heavy-duty-carrier-roller-cr20t-30-00050"
ihi-is-35gx,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd",bo101-300
ihi-is-35j,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd",bo101-300
ihi-is-35nx,MERGE,300x52.5Nx84,,"300x52-5x90-rubber-track-directional, bs300525w84xd, sd30052590v1iwa, tnt300525w84hd",bo101-300
ihi-is-35uj,MERGE,300x52.5Nx84,,"300x52-5x90-rubber-track-directional, bs300525w84xd, sd30052590v1iwa, tnt300525w84hd",bo101-300
ihi-is-38uj,MERGE,300x52.5Nx84,,"300x52-5x90-rubber-track-directional, bs300525w84xd, sd30052590v1iwa, tnt300525w84hd",
ihi-is-38ux,MERGE,300x52.5Nx84,,"bs300525w84xd, tnt300525w84hd",bo101-300
ihi-is-40g,MERGE,400x72.5Kx72,,"400x72-5nx70-rubber-track-directional, st135-41-64-400-38l, tnt400725n72hd","bo135-400, ct135-41-64-400, heavy-duty-carrier-roller-cr20t-30-00050"
ihi-is-40gx,MERGE,400x72.5Kx72,,"400x72-5nx70-rubber-track-directional, st135-41-64-400-38l, tnt400725n72hd","bo135-400, ct135-41-64-400"
ihi-is-40gx-2,MERGE,400x72.5Kx72,,"st135-41-64-400-38l, tnt400725n72hd",
ihi-is-40gx-3,MERGE,400x72.5Kx72,,"st135-41-64-400-38l, tnt400725n72hd",
ihi-is-40j,MERGE,400x72.5Kx72,,"400x72-5nx70-rubber-track-directional, st135-41-64-400-38l, tnt400725n72hd","bo135-400, ct135-41-64-400"
ihi-is-40jx,MERGE,400x72.5Kx72,,"400x72-5nx70-rubber-track-directional, st135-41-64-400-38l, tnt400725n72hd","bo135-400, ct135-41-64-400"
ihi-is-40nx,MERGE,400x72.5Kx72,,"st135-41-64-400-38l, tnt400725n72hd",
ihi-is-45j,MERGE,400x72.5Kx72,,"400x72-5nx70-rubber-track-directional, st135-41-64-400-38l, tnt400725n72hd","bo135-400, ct135-41-64-400"
ihi-is-45nx,MERGE,400x72.5Kx72,,"400x72-5nx70-rubber-track-directional, st135-41-64-400-38l, tnt400725n72hd","bo135-400, ct135-41-64-400"
ihi-is-45uj,MERGE,400x72.5Kx72,,"400x72-5nx70-rubber-track-directional, st135-41-64-400-38l, tnt400725n72hd","bo135-400, ct135-41-64-400"
ihi-is-50g,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400, heavy-duty-carrier-roller-cr20t-30-00050"
ihi-is-50g3,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-50gx,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-50uj,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-50ux,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400, heavy-duty-carrier-roller-cr9239529"
ihi-is-50z,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-55,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-55g,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-55g-3,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd",
ihi-is-55j,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-55lx,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-55n,MERGE,400x72.5Kx74,,"400x72-5x74-rubber-track-directional, bs400725n74xd, bs400725w74xd, ht135-41-64-400-39l, st135-41-64-400-39l, st135-53-80-400-39l, tnt400725n74hd","bo135-400, ct135-51-72-400"
ihi-is-55u-1,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd",
ihi-is-55u-2,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd",
ihi-is-55uj,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
ihi-is-55ux,MERGE,400x72.5Kx74,,"bs400725n74xd, ht135-41-64-400-39l, st135-41-64-400-39l, tnt400725n74hd","bo135-400, ct135-41-64-400"
jcb-150t,MERGE,320x86x48,,,"heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-16c-1,MERGE,230x48x70,,"230x48x70-rubber-track-directional, bs2304870xd",
jcb-180t,MERGE,320x86Bx50,,"320x86x50-rubber-track-c-block, bs3208650bxd, bs3208650cxd, bs3208650mbxd, tnt3208650hdbd, tnt3208650hdbl, tnt3208650hdmb, tnt3208650hdxt, tnt3208650hdz, tnt3208650hdzb, tnt3208650sdc",heavy-duty-track-roller-tr87535297
jcb-18z-1,MERGE,230x48x70,,"230x48x70-rubber-track-directional, bs2304870xd",
jcb-190t,MERGE,320x86Bx50,,"320x86x52-rubber-tracks, 400x86x52-rubber-track-c-block, 450x86x52-rubber-track-z-max, bs3208652bxd, bs3208652cxd, bs3208652mbxd, bs3208652vxd, bs4008652bxd, bs4008652xdmb, bs4508652bxd, bs4508652cxd, bs4508652vxd, sd4508652bbe, tnt3208652hdbl, tnt3208652hdmb, tnt3208652hdz, tnt3208652hdzb, tnt3208652sdc, tnt32086t52hdbl, tnt32086t52hdc, tnt32086t52hdmb, tnt32086t52hdzb, tnt4008652hdbd, tnt4008652hdbl, tnt4008652hdmb, tnt4008652hdtb, tnt4008652hdz, tnt4008652hdzb, tnt4508652hdbl, tnt4508652hdc, tnt4508652hdmb, tnt4508652hdz, tnt4508652sdc",heavy-duty-track-roller-tr87535297
jcb-190t-eco,MERGE,320x86Bx50,,"320x86x50-rubber-track-c-block, bs3208650bxd, bs3208650cxd, bs3208650mbxd, tnt3208650hdbd, tnt3208650hdbl, tnt3208650hdmb, tnt3208650hdxt, tnt3208650hdz, tnt3208650hdzb, tnt3208650sdc",heavy-duty-track-roller-tr87535297
jcb-19c-1,MERGE,230x48x70,,"230x48x70-rubber-track-directional, bs2304870xd",
jcb-205t,MERGE,320x86x52,,"320x86x50-rubber-track-c-block, bs3208650bxd, bs3208650cxd, bs3208650mbxd, tnt3208650hdbd, tnt3208650hdbl, tnt3208650hdmb, tnt3208650hdxt, tnt3208650hdz, tnt3208650hdzb, tnt3208650sdc, tnt32086t52hdbl, tnt32086t52hdc, tnt32086t52hdmb, tnt32086t52hdzb","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-210t,MERGE,320x86Bx50,,"320x86x50-rubber-track-c-block, bs3208650bxd, bs3208650cxd, bs3208650mbxd, tnt3208650hdbd, tnt3208650hdbl, tnt3208650hdmb, tnt3208650hdxt, tnt3208650hdz, tnt3208650hdzb, tnt3208650sdc",
jcb-215t,MERGE,320x86Bx50,,"320x86x50-rubber-track-c-block, bs3208650bxd, bs3208650cxd, bs3208650mbxd, tnt3208650hdbd, tnt3208650hdbl, tnt3208650hdmb, tnt3208650hdxt, tnt3208650hdz, tnt3208650hdzb, tnt3208650sdc","heavy-duty-idler-fiid2076, heavy-duty-track-roller-trid2802"
jcb-225t,MERGE,450x86Bx56,https://cdn.shopify.com/s/files/1/0952/1977/7823/files/jcb-skid-steer-hero.webp?v=1773971451,,
