shopify_handle,machine_id,brand,model,publish_status,hero,primary_track_size,track_products,uc_products,approved_track_sizes,blockers
bobcat-e62,mdl_bobcat_e62,Bobcat,E62,blocked,yes,400x72.5Wx76,0,0,1,no_products
bobcat-e63,mdl_bobcat_e63,Bobcat,E63,ready,yes,400x72.5Wx76,3,2,1,
bobcat-e80,mdl_bobcat_e80,Bobcat,E80,ready,yes,450x81Nx76,9,4,2,
bobcat-e85,mdl_bobcat_e85,Bobcat,E85,ready,yes,450x81Nx76,8,3,2,
bobcat-mt100,mdl_bobcat_mt100,Bobcat,MT100,ready,yes,180x72Kx45,4,0,3,
bobcat-mt50,mdl_bobcat_mt50,Bobcat,MT50,ready,yes,180x72x39,6,3,1,
bobcat-mt52,mdl_bobcat_mt52,Bobcat,MT52,ready,yes,180x72x39,3,3,1,
bobcat-mt55,mdl_bobcat_mt55,Bobcat,MT55,ready,yes,180x72x39,9,3,1,
bobcat-mt85,mdl_bobcat_mt85,Bobcat,MT85,ready,yes,180x72Kx45,8,2,2,
bobcat-t110,mdl_bobcat_t110,Bobcat,T110,ready,yes,250x72x52,4,0,1,
bobcat-t140,mdl_bobcat_t140,Bobcat,T140,ready,yes,320x84Bx46,2,5,1,
bobcat-t180,mdl_bobcat_t180,Bobcat,T180,ready,yes,320x86Bx49,17,9,2,
bobcat-t190,mdl_bobcat_t190,Bobcat,T190,ready,yes,320x86Bx49,17,10,2,
bobcat-t200,mdl_bobcat_t200,Bobcat,T200,ready,yes,320x86x52,29,6,3,
bobcat-t250,mdl_bobcat_t250,Bobcat,T250,ready,yes,450x86Bx55,32,6,1,
bobcat-t300,mdl_bobcat_t300,Bobcat,T300,ready,yes,450x86Bx55,16,6,1,
bobcat-t320,mdl_bobcat_t320,Bobcat,T320,ready,yes,450x86Bx55,16,5,1,
bobcat-t450,mdl_bobcat_t450,Bobcat,T450,ready,yes,320x84Bx46,6,2,1,
bobcat-t550,mdl_bobcat_t550,Bobcat,T550,ready,yes,400x86Bx49,34,9,2,
bobcat-t590,mdl_bobcat_t590,Bobcat,T590,ready,yes,320x86Bx49,17,12,2,
bobcat-t595,mdl_bobcat_t595,Bobcat,T595,ready,yes,320x86Bx49,17,5,2,
bobcat-t62,mdl_bobcat_t62,Bobcat,T62,ready,yes,400x86Bx50,38,2,1,
bobcat-t630,mdl_bobcat_t630,Bobcat,T630,ready,yes,320x86x52,42,11,3,
bobcat-t64,mdl_bobcat_t64,Bobcat,T64,ready,yes,400x86Bx50,19,2,1,
bobcat-t650,mdl_bobcat_t650,Bobcat,T650,ready,yes,320x86x52,37,12,3,
bobcat-t66,mdl_bobcat_t66,Bobcat,T66,ready,yes,400x86Bx50,19,2,1,
bobcat-t730,mdl_bobcat_t730,Bobcat,T730,ready,yes,450x86Bx55,12,1,1,
bobcat-t740,mdl_bobcat_t740,Bobcat,T740,ready,yes,450x86Bx55,16,7,1,
bobcat-t750,mdl_bobcat_t750,Bobcat,T750,ready,yes,450x86Bx55,16,11,1,
bobcat-t76,mdl_bobcat_t76,Bobcat,T76,ready,yes,320x86Bx53,48,2,3,
bobcat-t770,mdl_bobcat_t770,Bobcat,T770,ready,yes,450x86Bx55,16,13,1,
bobcat-t830,mdl_bobcat_t830,Bobcat,T830,ready,yes,450x86Bx58,15,0,1,
bobcat-t86,mdl_bobcat_t86,Bobcat,T86,ready,yes,450x86Bx58,13,1,1,
bobcat-t864,mdl_bobcat_t864,Bobcat,T864,ready,yes,320x86x52,4,0,2,
bobcat-t870,mdl_bobcat_t870,Bobcat,T870,ready,yes,450x86Bx58,54,11,2,
boxer-118,mdl_boxer_118,Boxer,118,ready,no,180x72x36,1,0,1,
boxer-320,mdl_boxer_320,Boxer,320,ready,no,180x72x36,1,0,1,
boxer-322d,mdl_boxer_322d,Boxer,322D,ready,no,180x72x36,1,0,1,
boxer-400,mdl_boxer_400,Boxer,400,ready,yes,230x72x39,1,0,1,
boxer-427,mdl_boxer_427,Boxer,427,ready,yes,230x72x39,1,0,1,
boxer-526dx,mdl_boxer_526dx,Boxer,526DX,ready,yes,230x72x39,1,0,1,
boxer-530dx,mdl_boxer_530dx,Boxer,530DX,ready,yes,230x72x39,4,0,1,
boxer-532dx,mdl_boxer_532dx,Boxer,532DX,ready,yes,230x72x39,1,0,1,
boxer-brute-trx,mdl_boxer_brute_trx,Boxer,BRUTE TRX,ready,yes,230x72x39,1,0,1,
case-15,mdl_case_15,Case,15,ready,yes,230x96x31,2,0,1,
case-15maxi,mdl_case_15maxi,Case,15MAXI,ready,yes,230x96x31,2,0,1,
case-16,mdl_case_16,Case,16,ready,yes,230x96x31,2,0,1,
case-16maxi,mdl_case_16maxi,Case,16MAXI,ready,yes,230x96x31,2,0,1,
case-16rtn,mdl_case_16rtn,Case,16RTN,ready,yes,230x96x31,2,0,1,
case-420ct,mdl_case_420ct,Case,420CT,ready,yes,320x86Bx50,19,4,1,
case-440ct,mdl_case_440ct,Case,440CT,ready,yes,400x86Bx50,19,4,1,
case-445ct,mdl_case_445ct,Case,445CT,ready,yes,450x86Bx55,16,4,1,
case-450ct,mdl_case_450ct,Case,450CT,ready,yes,450x86Bx55,16,4,1,
case-6030,mdl_case_6030,Case,6030,blocked,yes,400x72.5Kx74,0,0,3,no_products
case-ck16,mdl_case_ck16,Case,CK16,ready,yes,320x86x48,2,0,2,
case-ck28,mdl_case_ck28,Case,CK28,ready,yes,300x52.5Nx78,2,2,2,
case-ck32,mdl_case_ck32,Case,CK32,ready,no,320x86x52,7,1,1,
case-ck50,mdl_case_ck50,Case,CK50,ready,yes,400x72.5Kx74,4,2,3,
case-ck52,mdl_case_ck52,Case,CK52,ready,yes,400x72.5Kx74,4,2,3,
case-ck62,mdl_case_ck62,Case,CK62,ready,yes,400x72.5Wx76,1,2,1,
case-cx14,mdl_case_cx14,Case,CX14,ready,yes,230x48x70,2,0,1,
case-cx14-zts,mdl_case_cx14_zts,Case,CX14-ZTS,ready,yes,230x48x70,2,0,1,
case-cx15,mdl_case_cx15,Case,CX15,ready,yes,230x96x31,2,0,1,
case-cx15stc,mdl_case_cx15stc,Case,CX15STC,ready,yes,230x48x70,2,0,1,
case-cx15str,mdl_case_cx15str,Case,CX15STR,ready,yes,230x48x70,2,0,1,
case-cx16,mdl_case_cx16,Case,CX16,ready,yes,230x48x70,2,0,2,
case-cx16-2001,mdl_case_cx16_2001,Case,CX16-2001,ready,yes,230x48x70,2,0,1,
case-cx16b,mdl_case_cx16b,Case,CX16B,ready,yes,230x48x70,2,0,1,
case-cx17b,mdl_case_cx17b,Case,CX17B,ready,yes,230x48x70,2,0,1,
case-cx17c,mdl_case_cx17c,Case,CX17C,ready,yes,230x48x70,2,0,1,
case-cx18b,mdl_case_cx18b,Case,CX18B,ready,yes,230x48x70,2,0,1,
case-cx20b,mdl_case_cx20b,Case,CX20B,ready,yes,300x52.5Nx76,1,2,2,
case-cx22b,mdl_case_cx22b,Case,CX22B,ready,yes,300x52.5Nx76,1,2,2,
case-cx25,mdl_case_cx25,Case,CX25,ready,yes,300x52.5Nx76,1,1,2,
case-cx26,mdl_case_cx26,Case,CX26,ready,yes,300x52.5Nx76,1,0,2,
case-cx26c,mdl_case_cx26c,Case,CX26C,ready,yes,300x52.5Nx78,1,0,2,
case-cx27b,mdl_case_cx27b,Case,CX27B,ready,yes,300x52.5Nx80,3,3,1,
case-cx28,mdl_case_cx28,Case,CX28,ready,yes,300x52.5Nx78,2,2,2,
case-cx30,mdl_case_cx30,Case,CX30,ready,yes,300x52.5Nx80,3,0,1,
case-cx30c,mdl_case_cx30c,Case,CX30C,blocked,yes,300x52.5Nx80,0,0,1,no_products
case-cx33c,mdl_case_cx33c,Case,CX33C,ready,yes,300x52.5x86,3,1,1,
case-cx35,mdl_case_cx35,Case,CX35,ready,yes,300x52.5x86,6,3,1,
case-cx36,mdl_case_cx36,Case,CX36,ready,yes,300x52.5Kx88,1,3,2,
case-cx36b,mdl_case_cx36b,Case,CX36B,ready,yes,300x52.5Kx88,1,6,2,
case-cx37c,mdl_case_cx37c,Case,CX37C,ready,yes,300x52.5x86,1,2,1,
case-cx39b,mdl_case_cx39b,Case,CX39B,blocked,yes,300x52.5Kx88,0,0,2,no_products
case-cx47,mdl_case_cx47,Case,CX47,ready,yes,400x72.5Kx74,5,1,3,
case-cx50,mdl_case_cx50,Case,CX50,ready,yes,400x72.5Kx74,3,0,3,
case-cx50b,mdl_case_cx50b,Case,CX50B,ready,yes,400x72.5Kx74,5,3,3,
case-cx55b,mdl_case_cx55b,Case,CX55B,ready,yes,400x72.5Kx74,6,4,3,
case-cx55b-msr,mdl_case_cx55bmsr,Case,CX55BMSR,blocked,yes,400x72.5Kx74,0,0,3,no_products
case-cx57,mdl_case_cx57,Case,CX57,blocked,yes,400x72.5Wx76,0,0,1,no_products
case-cx57c,mdl_case_cx57c,Case,CX57C,ready,yes,400x72.5Wx76,2,0,1,
case-cx60c,mdl_case_cx60c,Case,CX60C,ready,yes,400x72.5Wx76,2,2,1,
case-cx65b,mdl_case_cx65b,Case,CX65B,blocked,yes,400x72.5Kx74,0,0,3,no_products
case-cx75sr,mdl_case_cx75sr,Case,CX75SR,ready,no,450x81Nx76,3,3,2,
case-cx80c,mdl_case_cx80c,Case,CX80C,ready,yes,450x81Nx76,4,3,2,
case-tr270,mdl_case_tr270,Case,TR270,ready,yes,320x86Bx50,11,5,1,
case-tr270b,mdl_case_tr270b,Case,TR270B,ready,yes,320x86Bx50,11,5,1,
case-tr310,mdl_case_tr310,Case,TR310,ready,yes,400x86Bx50,19,5,1,
case-tr310b,mdl_case_tr310b,Case,TR310B,ready,yes,320x86Bx50,19,4,2,
case-tr320,mdl_case_tr320,Case,TR320,ready,yes,450x86Bx55,16,5,1,
case-tr320b,mdl_case_tr320b,Case,TR320B,blocked,yes,450x86Bx55,0,0,1,no_products
case-tr340,mdl_case_tr340,Case,TR340,ready,yes,450x86Bx55,16,5,1,
case-tr340b,mdl_case_tr340b,Case,TR340B,ready,yes,450x86Bx55,16,5,1,
case-tv370,mdl_case_tv370,Case,TV370,ready,yes,450x86Bx55,16,4,1,
case-tv370b,mdl_case_tv370b,Case,TV370B,ready,yes,450x86Bx55,12,5,1,
case-tv380,mdl_case_tv380,Case,TV380,ready,yes,450x86Bx55,16,5,1,
case-tv450,mdl_case_tv450,Case,TV450,ready,yes,450x86Bx55,16,5,1,
case-tv450b,mdl_case_tv450b,Case,TV450B,ready,yes,450x86Bx55,16,5,1,
case-tv620b,mdl_case_tv620b,Case,TV620B,ready,yes,450x86Bx63,5,2,1,
caterpillar-239d,mdl_cat_239d,CAT,239D,ready,yes,320x86Bx49,17,3,2,
caterpillar-239d3,mdl_cat_239d3,CAT,239D3,ready,yes,320x86Bx49,17,3,1,
caterpillar-247,mdl_cat_247,CAT,247,partial,no,,1,2,1,missing_primary_track_size_v2
caterpillar-247b,mdl_cat_247b,CAT,247B,ready,no,381x100.5x42,2,2,1,
caterpillar-247b2,mdl_cat_247b2,CAT,247B2,ready,no,381x100.5x42,1,1,1,
caterpillar-247b3,mdl_cat_247b3,CAT,247B3,ready,no,381x100.5x42,1,1,1,
