entity_type,entity_id,handle_or_size,media_role,has_media,url_preview,status
machine,mdl_case_16,case-16,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_case_16maxi,case-16maxi,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_case_16rtn,case-16rtn,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/sizes/230x96x31-mx-01.webp,pass
machine,mdl_case_420ct,case-420ct,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x50-x-terrain-01.webp,pass
machine,mdl_case_440ct,case-440ct,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x86x50-zig-zag-01.webp,pass
machine,mdl_case_445ct,case-445ct,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86x55-zig-zag-01.webp,pass
machine,mdl_case_450ct,case-450ct,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/450x86x55-zig-zag-01.webp,pass
machine,mdl_case_6030,case-6030,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_case_ck16,case-ck16,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/320x86x48-multi-bar-01.webp,pass
machine,mdl_case_ck28,case-ck28,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/300x52.5Nx78-directional-01.webp,pass
machine,mdl_case_ck32,case-ck32,hero,no,,review
machine,mdl_case_ck50,case-ck50,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_case_ck52,case-ck52,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Kx74-directional-01.webp,pass
machine,mdl_case_ck62,case-ck62,hero,yes,https://tcykyktvdlsbscrsbjyt.supabase.co/storage/v1/object/public/catalog-images/400x72.5Wx76-directional-01.webp,pass
