machine_id,shopify_handle,page_path,metaobject_path,primary_track_size,machine_status,status,issues
mdl_cat_303_5_cr,caterpillar-303-5cr,/pages/fitment/caterpillar-303-5cr,/metaobjects/model/caterpillar-303-5cr,300x52.5Wx90,active_v1,pass,
mdl_cat_303_5c_cr,caterpillar-303-5c-cr,/pages/fitment/caterpillar-303-5c-cr,/metaobjects/model/caterpillar-303-5c-cr,300x52.5Wx90,active_v1,pass,
mdl_cat_303_5d,caterpillar-303-5d,/pages/fitment/caterpillar-303-5d,/metaobjects/model/caterpillar-303-5d,300x52.5Wx90,active_v1,pass,
mdl_cat_303_5d_cr,caterpillar-303-5d-cr,/pages/fitment/caterpillar-303-5d-cr,/metaobjects/model/caterpillar-303-5d-cr,300x52.5Wx90,active_v1,pass,
mdl_cat_303_5e_cr,caterpillar-303-5e-cr,/pages/fitment/caterpillar-303-5e-cr,/metaobjects/model/caterpillar-303-5e-cr,300x52.5Wx90,active_v1,pass,
mdl_cat_303c_cr,caterpillar-303ccr,/pages/fitment/caterpillar-303ccr,/metaobjects/model/caterpillar-303ccr,300x52.5Wx90,active_v1,pass,
mdl_cat_303e,caterpillar-303e,/pages/fitment/caterpillar-303e,/metaobjects/model/caterpillar-303e,300x52.5Nx84,active_v1,pass,
mdl_cat_303ecr,caterpillar-303ecr,/pages/fitment/caterpillar-303ecr,/metaobjects/model/caterpillar-303ecr,300x52.5Nx84,active_v1,pass,
mdl_cat_304,caterpillar-304,/pages/fitment/caterpillar-304,/metaobjects/model/caterpillar-304,300x52.5Wx90,active_v1,pass,
mdl_cat_304_5,caterpillar-304-5,/pages/fitment/caterpillar-304-5,/metaobjects/model/caterpillar-304-5,400x72.5Kx72,active_v1,pass,
mdl_cat_304_5e2,caterpillar-304-5e2,/pages/fitment/caterpillar-304-5e2,/metaobjects/model/caterpillar-304-5e2,300x52.5Wx90,active_v1,pass,
mdl_cat_304c,caterpillar-304c,/pages/fitment/caterpillar-304c,/metaobjects/model/caterpillar-304c,400x72.5Kx72,active_v1,pass,
mdl_cat_304c_cr,caterpillar-304ccr,/pages/fitment/caterpillar-304ccr,/metaobjects/model/caterpillar-304ccr,400x72.5Wx76,active_v1,pass,
mdl_cat_304cr,caterpillar-304cr,/pages/fitment/caterpillar-304cr,/metaobjects/model/caterpillar-304cr,400x72.5Kx72,active_v1,pass,
mdl_cat_304d,caterpillar-304d,/pages/fitment/caterpillar-304d,/metaobjects/model/caterpillar-304d,300x52.5Wx90,active_v1,pass,
mdl_cat_304d_cr,caterpillar-304d-cr,/pages/fitment/caterpillar-304d-cr,/metaobjects/model/caterpillar-304d-cr,350x52.5x90,active_v1,pass,
mdl_cat_304e,caterpillar-304e,/pages/fitment/caterpillar-304e,/metaobjects/model/caterpillar-304e,300x52.5Wx90,active_v1,pass,
mdl_cat_304e_cr,caterpillar-304e-cr,/pages/fitment/caterpillar-304e-cr,/metaobjects/model/caterpillar-304e-cr,350x52.5x90,active_v1,pass,
mdl_cat_304e2,caterpillar-304e2,/pages/fitment/caterpillar-304e2,/metaobjects/model/caterpillar-304e2,300x52.5Wx90,active_v1,pass,
mdl_cat_305_cr,caterpillar-305cr,/pages/fitment/caterpillar-305cr,/metaobjects/model/caterpillar-305cr,400x72.5Kx72,active_v1,pass,
mdl_cat_305_5,caterpillar-305-5,/pages/fitment/caterpillar-305-5,/metaobjects/model/caterpillar-305-5,400x72.5Kx72,active_v1,pass,
mdl_cat_305_5d_cr,caterpillar-305-5d-cr,/pages/fitment/caterpillar-305-5d-cr,/metaobjects/model/caterpillar-305-5d-cr,400x72.5Wx76,active_v1,pass,
mdl_cat_305_5e,caterpillar-305-5e,/pages/fitment/caterpillar-305-5e,/metaobjects/model/caterpillar-305-5e,400x72.5Wx76,active_v1,pass,
mdl_cat_305_5e_cr,caterpillar-305-5e-cr,/pages/fitment/caterpillar-305-5e-cr,/metaobjects/model/caterpillar-305-5e-cr,400x72.5Wx76,active_v1,pass,
mdl_cat_305_5e2,caterpillar-305-5e2,/pages/fitment/caterpillar-305-5e2,/metaobjects/model/caterpillar-305-5e2,400x72.5Kx72,active_v1,pass,
