handle,machine_id,brand,model,primary_track_size,publish_status,hero,track_count,uc_count,approved_sizes,shopify_exists,status,issues
bobcat-864,mdl_bobcat_864,Bobcat,864,320x86x52,ready,yes,24,6,2,unknown,pass,
bobcat-cx27b,mdl_bobcat_cx27b,Bobcat,CX27B,300x52.5Nx80,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-e08,mdl_bobcat_e08,Bobcat,E08,180x72x39,ready,yes,5,1,1,unknown,pass,
bobcat-e10,mdl_bobcat_e10,Bobcat,E10,180x72x39,ready,yes,5,1,1,unknown,pass,
bobcat-e20,mdl_bobcat_e20,Bobcat,E20,230x48x72,ready,yes,2,0,1,unknown,pass,
bobcat-e25,mdl_bobcat_e25,Bobcat,E25,300x52.5Nx76,ready,no,1,0,2,unknown,review,missing_hero
bobcat-e26,mdl_bobcat_e26,Bobcat,E26,300x52.5Nx80,ready,yes,3,8,1,unknown,pass,
bobcat-e27,mdl_bobcat_e27,Bobcat,E27,300x52.5Nx80,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-e27z,mdl_bobcat_e27z,Bobcat,E27Z,300x52.5Nx80,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-e32,mdl_bobcat_e32,Bobcat,E32,300x52.5Nx80,ready,yes,3,5,1,unknown,pass,
bobcat-e32i,mdl_bobcat_e32i,Bobcat,E32I,300x52.5Nx80,ready,no,2,4,1,unknown,review,missing_hero
bobcat-e34,mdl_bobcat_e34,Bobcat,E34,300x52.5Nx84,blocked,yes,0,0,2,unknown,fail,blocked;no_products
bobcat-e35,mdl_bobcat_e35,Bobcat,E35,300x52.5Nx84,ready,yes,6,6,2,unknown,pass,
bobcat-e35i,mdl_bobcat_e35i,Bobcat,E35I,300x52.5Nx84,ready,no,2,5,2,unknown,review,missing_hero
bobcat-e35z,mdl_bobcat_e35z,Bobcat,E35Z,300x52.5Nx84,ready,no,2,4,2,unknown,review,missing_hero
bobcat-e37,mdl_bobcat_e37,Bobcat,E37,300x52.5Nx84,blocked,yes,0,0,2,unknown,fail,blocked;no_products
bobcat-e42,mdl_bobcat_e42,Bobcat,E42,,partial,yes,2,5,0,unknown,review,missing_primary_track_size
bobcat-e45,mdl_bobcat_e45,Bobcat,E45,400x72.5Kx74,ready,yes,4,6,3,unknown,pass,
bobcat-e50,mdl_bobcat_e50,Bobcat,E50,400x72.5Kx74,ready,yes,4,6,3,unknown,pass,
bobcat-e55,mdl_bobcat_e55,Bobcat,E55,400x72.5Kx74,ready,yes,4,6,3,unknown,pass,
bobcat-e55z,mdl_bobcat_e55z,Bobcat,E55Z,400x72.5Kx74,ready,no,2,1,3,unknown,review,missing_hero
bobcat-e60,mdl_bobcat_e60,Bobcat,E60,400x72.5Wx76,ready,yes,3,2,1,unknown,pass,
bobcat-e62,mdl_bobcat_e62,Bobcat,E62,400x72.5Wx76,blocked,no,0,0,1,unknown,fail,blocked;missing_hero;no_products
bobcat-e63,mdl_bobcat_e63,Bobcat,E63,400x72.5Wx76,ready,yes,3,2,1,unknown,pass,
bobcat-e80,mdl_bobcat_e80,Bobcat,E80,450x81Nx76,ready,yes,9,4,2,unknown,pass,
bobcat-e85,mdl_bobcat_e85,Bobcat,E85,450x81Nx76,ready,yes,8,3,2,unknown,pass,
bobcat-mt100,mdl_bobcat_mt100,Bobcat,MT100,180x72Kx45,ready,yes,4,0,3,unknown,pass,
bobcat-mt50,mdl_bobcat_mt50,Bobcat,MT50,180x72x39,ready,yes,6,3,1,unknown,pass,
bobcat-mt52,mdl_bobcat_mt52,Bobcat,MT52,180x72x39,ready,yes,3,3,1,unknown,pass,
bobcat-mt55,mdl_bobcat_mt55,Bobcat,MT55,180x72x39,ready,yes,9,3,1,unknown,pass,
bobcat-mt85,mdl_bobcat_mt85,Bobcat,MT85,180x72Kx45,ready,yes,8,2,2,unknown,pass,
bobcat-t110,mdl_bobcat_t110,Bobcat,T110,250x72x52,ready,yes,4,0,1,unknown,pass,
bobcat-t140,mdl_bobcat_t140,Bobcat,T140,320x84Bx46,ready,yes,2,5,1,unknown,pass,
bobcat-t180,mdl_bobcat_t180,Bobcat,T180,320x86Bx49,ready,yes,17,9,2,unknown,pass,
bobcat-t190,mdl_bobcat_t190,Bobcat,T190,320x86Bx49,ready,yes,17,10,2,unknown,pass,
bobcat-t200,mdl_bobcat_t200,Bobcat,T200,320x86x52,ready,yes,29,6,3,unknown,pass,
bobcat-t250,mdl_bobcat_t250,Bobcat,T250,450x86Bx55,ready,yes,32,6,1,unknown,pass,
bobcat-t300,mdl_bobcat_t300,Bobcat,T300,450x86Bx55,ready,yes,16,6,1,unknown,pass,
bobcat-t320,mdl_bobcat_t320,Bobcat,T320,450x86Bx55,ready,yes,16,5,1,unknown,pass,
bobcat-t450,mdl_bobcat_t450,Bobcat,T450,320x84Bx46,ready,yes,6,2,1,unknown,pass,
bobcat-t550,mdl_bobcat_t550,Bobcat,T550,400x86Bx49,ready,yes,34,9,2,unknown,pass,
bobcat-t590,mdl_bobcat_t590,Bobcat,T590,320x86Bx49,ready,yes,17,12,2,unknown,pass,
bobcat-t595,mdl_bobcat_t595,Bobcat,T595,320x86Bx49,ready,yes,17,5,2,unknown,pass,
