machine_id,shopify_handle,track_size_options,v2_track_products,tnt_products,uc_products,sprockets,idlers,rear_idlers,rollers,wide_before_narrow,status,issues
mdl_cat_287c,caterpillar-287c,1,2,1,6,1,0,0,0,n/a,pass,
mdl_cat_287c2,caterpillar-287c2,0,2,1,5,0,0,0,0,n/a,review,no_track_size_options
mdl_cat_287d,caterpillar-287d,0,2,1,6,0,0,0,0,n/a,review,no_track_size_options
mdl_cat_289c,caterpillar-289c,1,28,16,38,2,6,0,2,n/a,pass,
mdl_cat_289c2,caterpillar-289c2,1,13,9,17,1,2,0,1,n/a,pass,
mdl_cat_289d,caterpillar-289d,1,17,11,22,1,3,0,1,n/a,pass,
mdl_cat_289d2,caterpillar-289d2,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_289d3,caterpillar-289d3,1,26,18,31,1,3,0,1,n/a,pass,
mdl_cat_297c,caterpillar-297c,0,4,2,11,2,0,0,0,n/a,review,no_track_size_options
mdl_cat_297d2,caterpillar-297d2,0,2,1,4,0,0,0,0,n/a,review,no_track_size_options
mdl_cat_297d2_xhp,caterpillar-297d2-xhp,0,2,1,4,0,0,0,0,n/a,review,no_track_size_options
mdl_cat_299c,caterpillar-299c,1,14,8,19,1,3,0,1,n/a,pass,
mdl_cat_299d,caterpillar-299d,1,15,9,20,1,3,0,1,n/a,pass,
mdl_cat_299d_xhp,caterpillar-299d-xhp,1,15,9,20,1,3,0,1,n/a,pass,
mdl_cat_299d2,caterpillar-299d2,1,15,9,20,1,3,0,1,n/a,pass,
mdl_cat_299d3,caterpillar-299d3,1,16,10,21,1,3,0,1,n/a,pass,
mdl_cat_300_9d,caterpillar-300-9d,1,1,1,1,0,0,0,0,n/a,pass,
mdl_cat_301_5,caterpillar-301-5,1,5,3,9,0,2,0,2,n/a,pass,
mdl_cat_301_7d,caterpillar-301-7d,1,1,1,1,0,0,0,0,n/a,pass,
mdl_cat_3016,caterpillar-301-6,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_3016c,caterpillar-301-6c,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_3018c,caterpillar-301-8c,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_302_5,caterpillar-302-5,2,4,2,9,0,0,0,3,review,pass,
mdl_cat_302_5c,caterpillar-302-5c,2,2,1,6,0,0,0,2,review,pass,
mdl_cat_303_cr,caterpillar-303cr,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_cat_303_5,caterpillar-303-5,2,2,1,7,0,1,0,2,review,pass,
mdl_cat_303_5_cr,caterpillar-303-5cr,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_303_5c_cr,caterpillar-303-5c-cr,1,0,0,0,0,0,0,0,n/a,fail,no_v2_track_products;no_uc_products
mdl_cat_303_5d,caterpillar-303-5d,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_303_5d_cr,caterpillar-303-5d-cr,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_303_5e_cr,caterpillar-303-5e-cr,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_303c_cr,caterpillar-303ccr,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_303e,caterpillar-303e,2,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_cat_303ecr,caterpillar-303ecr,2,2,1,4,0,0,0,2,review,pass,
mdl_cat_304,caterpillar-304,1,4,2,8,1,1,0,2,n/a,pass,
mdl_cat_304_5,caterpillar-304-5,3,4,2,11,1,3,0,1,review,pass,
mdl_cat_304_5e2,caterpillar-304-5e2,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_304c,caterpillar-304c,3,4,2,6,0,0,0,0,review,pass,
mdl_cat_304c_cr,caterpillar-304ccr,1,2,1,2,0,0,0,0,n/a,pass,
mdl_cat_304cr,caterpillar-304cr,3,8,4,17,2,2,0,3,review,pass,
mdl_cat_304d,caterpillar-304d,1,1,1,1,0,0,0,0,n/a,pass,
mdl_cat_304d_cr,caterpillar-304d-cr,1,1,1,1,0,0,0,0,n/a,pass,
mdl_cat_304e,caterpillar-304e,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_304e_cr,caterpillar-304e-cr,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_304e2,caterpillar-304e2,1,3,1,3,0,0,0,0,n/a,pass,
mdl_cat_305_cr,caterpillar-305cr,3,0,0,0,0,0,0,0,review,fail,no_v2_track_products;no_uc_products
mdl_cat_305_5,caterpillar-305-5,3,4,2,9,1,1,0,1,review,pass,
